ID,Type,Country,Year,Lat,Long
GEB2,Z,Gabon,2001,0.055034938,11.81094989
Medemba,Z,Gabon,2001,0.700108652,14.1580276
Entsiami,Z,ROC,2002,0.133324646,14.26666871
Lossi1,Z,ROC,2002,0.2987,14.5075
Mvoula,Z,ROC,2003,0.06823,14.41997
Mbanza2,Z,ROC,2003,0.561861281,14.65726397
Yambio,S,SSudan,2004,4.556762732,28.40155377
Lokoue,Z,ROC,2004,0.906377692,15.17512092
Etoumbi,Z,ROC,2005,0.494444,14.678611
Bamoukamba,Z,DRC,2007,-5.25956,21.40954
Bundibugyo,B,Uganda,2007,0.703826008,30.11752329
Kaluamba,Z,DRC,2008,-5.240089764,21.41029958
Nakisamata,S,Uganda,2011,0.644428889,32.72762166
Kibaale,S,Uganda,2012,0.621398503,31.16849305
Isiro,B,DRC,2012,2.771756721,27.61961027
Luwero,S,Uganda,2012,0.578430857,32.54796425
Meliandou,Z,Guinea,2013,8.6225,-10.06423
Inkanamongo,Z,DRC,2014,-0.7138719,20.5302443
Likati,Z,DRC,2017,3.29898,23.54304
Bikoro,Z,DRC,2018,-0.736839,18.421409
NorthKivu,Z,DRC,2018,0.605894,29.30645
Mbandaka,Z,DRC,2020,0.029982,18.280036
Wangata,Z,DRC,2022,0.04135,18.27702
Madudu,S,Uganda,2022,0.669653979,31.46862379
Bulape,Z,DRC,2025,-4.676271003,21.60698441
Wakiso,S,Uganda,2025,0.492984211,32.50360612
Bunia,B,DRC,2026,1.612470371,30.25402077
